mode,"corr(IAQI, rCo2)",IAQI == rCo2 (%),IAQI == rK (%),dom_rCo2 (%),dom_rK (%)
co2_k,0.802,5.41,53.96,24.31,70.04
pm25_k,0.7374,6.51,49.48,29.97,64.67
voc_k,0.7079,6.34,53.56,29.33,64.04
