createdAt,pm25,usAQI,co2,tvoc,nox,temp,humidity
2026-04-07T23:00:42.539Z,4,17,1223.3333740234375,215,1,24.894515991210938,43.687034606933594
2026-04-07T23:00:47.560Z,3.8333332538604736,16,1223.3333740234375,215,1,24.887840270996094,43.68608474731445
2026-04-07T23:00:52.509Z,3.3333332538604736,14,1223.6666259765625,215,1,24.87982940673828,43.68989562988281
2026-04-07T23:00:57.528Z,2.8333332538604736,12,1223.6666259765625,215,1,24.85980224609375,43.72804641723633
2026-04-07T23:01:02.521Z,2.8333332538604736,12,1223,215,1,24.851791381835938,43.763328552246094
2026-04-07T23:01:07.504Z,3.1666667461395264,13,1222.3333740234375,215.3333282470703,1,24.851791381835938,43.763328552246094
2026-04-07T23:01:12.528Z,3.1666667461395264,13,1222.3333740234375,215.5833282470703,1,24.865142822265625,43.80052185058594
2026-04-07T23:01:17.564Z,2.8333332538604736,12,1222.6666259765625,216.1666717529297,1,24.867813110351562,43.813873291015625
2026-04-07T23:01:22.518Z,2.5,10,1223,216.5833282470703,1,24.851791381835938,44.01319122314453
2026-04-07T23:01:27.511Z,2.5,10,1223.3333740234375,217.0833282470703,1,24.851791381835938,44.01319122314453
2026-04-07T23:01:32.539Z,2.8333332538604736,12,1224,217.75,1,24.845115661621094,44.40229034423828
2026-04-07T23:01:37.530Z,3.3333332538604736,14,1225,218.4166717529297,1,24.855796813964844,44.625450134277344
2026-04-07T23:01:42.546Z,3.5,15,1225.6666259765625,219.0833282470703,1,24.853126525878906,44.733219146728516
2026-04-07T23:01:47.492Z,3.6666667461395264,15,1227,219.8333282470703,1,24.862472534179688,44.95352554321289
2026-04-07T23:01:52.599Z,3.6666667461395264,15,1228.6666259765625,220.5833282470703,1,24.862472534179688,44.95352554321289
2026-04-07T23:01:57.606Z,4,17,1231,221.5,1,24.8704833984375,45.14140319824219
2026-04-07T23:02:02.636Z,4.333333492279053,18,1233.6666259765625,222.8333282470703,1,24.86914825439453,45.19862365722656
2026-04-07T23:02:07.572Z,4.333333492279053,18,1238,224,1,24.86914825439453,45.13568115234375
2026-04-07T23:02:12.611Z,4.166666507720947,17,1242.6666259765625,225.4166717529297,1,24.86914825439453,45.13568115234375
2026-04-07T23:02:17.560Z,3.5,15,1247.3333740234375,227.1666717529297,1,24.855796813964844,45.42083740234375
2026-04-07T23:02:22.623Z,3,13,1251.3333740234375,230.0833282470703,1,24.85045623779297,45.717437744140625
2026-04-07T23:02:27.604Z,2.5,10,1263.6666259765625,233.3333282470703,1,24.867813110351562,45.340728759765625
2026-04-07T23:02:32.605Z,2.3333332538604736,10,1280.6666259765625,236.4166717529297,1,24.867813110351562,45.340728759765625
2026-04-07T23:02:37.623Z,2.3333332538604736,10,1301,239.5833282470703,1,24.85846710205078,44.834320068359375
2026-04-07T23:02:42.599Z,2.3333332538604736,10,1315.3333740234375,242.9166717529297,1,24.843780517578125,44.69603729248047
2026-04-07T23:02:47.611Z,2.5,10,1327.3333740234375,246.0833282470703,1,24.84912109375,44.85053634643555
2026-04-07T23:02:52.672Z,2.6666667461395264,11,1334.6666259765625,248.1666717529297,1,24.84912109375,44.85053634643555
2026-04-07T23:02:57.623Z,3.1666667461395264,13,1338.3333740234375,249.1666717529297,1,24.83710479736328,44.83050537109375
2026-04-07T23:03:02.658Z,3.8333332538604736,16,1337.6666259765625,249.4166717529297,1,24.842445373535156,44.758026123046875
2026-04-07T23:03:07.603Z,4.666666507720947,19,1334.6666259765625,249.25,1,24.835769653320312,44.96974182128906
2026-04-07T23:03:12.641Z,5,21,1331.3333740234375,249,1,24.835769653320312,44.96974182128906
2026-04-07T23:03:17.645Z,4.666666507720947,19,1328.3333740234375,249,1,24.830429077148438,45.17955017089844
2026-04-07T23:03:22.640Z,4,17,1326.6666259765625,249,1,24.846450805664062,45.19480895996094
2026-04-07T23:03:27.634Z,3.6666667461395264,15,1326,249,1,24.843780517578125,45.11088562011719
2026-04-07T23:03:32.621Z,3.8333332538604736,16,1325.3333740234375,249.1666717529297,1,24.843780517578125,45.11088562011719
2026-04-07T23:03:37.612Z,3.8333332538604736,16,1325,249.4166717529297,1,24.841110229492188,45.017425537109375
2026-04-07T23:03:42.634Z,3.5,15,1323.6666259765625,249.9166717529297,1,24.82642364501953,44.974510192871094
2026-04-07T23:03:47.560Z,3.6666667461395264,15,1320.6666259765625,250.4166717529297,1,24.82642364501953,44.96974182128906
2026-04-07T23:03:52.666Z,3.8333332538604736,16,1317.3333740234375,250.75,1,24.82642364501953,44.96974182128906
2026-04-07T23:03:57.654Z,4.166666507720947,17,1313.6666259765625,250.8333282470703,1,24.84778594970703,44.97355651855469
2026-04-07T23:04:02.566Z,4.333333492279053,18,1311.3333740234375,250.5833282470703,1,24.846450805664062,44.94208526611328
2026-04-07T23:04:07.594Z,5.333333492279053,22,1308.6666259765625,250.25,1,24.830429077148438,44.87437438964844
2026-04-07T23:04:12.591Z,5.833333492279053,24,1305,250,1,24.830429077148438,44.87437438964844
2026-04-07T23:04:17.633Z,5.333333492279053,22,1301.3333740234375,249.75,1,24.821083068847656,44.79808044433594
2026-04-07T23:04:22.651Z,4.166666507720947,17,1297.6666259765625,249.5,1,24.83710479736328,44.74085998535156
2026-04-07T23:04:27.613Z,3.5,15,1294.3333740234375,249.5,1,24.842445373535156,44.816200256347656
2026-04-07T23:04:32.580Z,3.6666667461395264,15,1290.6666259765625,249.25,1,24.831764221191406,44.938270568847656
2026-04-07T23:04:37.595Z,3.8333332538604736,16,1287.3333740234375,249,1,24.831764221191406,44.938270568847656
2026-04-07T23:04:42.600Z,4,17,1285,248.75,1,24.83843994140625,45.07178497314453
2026-04-07T23:04:47.597Z,3.6666667461395264,15,1283.6666259765625,248,1,24.83710479736328,45.07750701904297
2026-04-07T23:04:52.652Z,2.8333332538604736,12,1282.6666259765625,247.75,1,24.835769653320312,44.93540954589844
2026-04-07T23:04:57.636Z,2,8,1282.6666259765625,247.9166717529297,1,24.835769653320312,44.93540954589844
2026-04-07T23:05:02.602Z,1.6666666269302368,7,1283,248.4166717529297,1,24.822418212890625,45.17573547363281
2026-04-07T23:05:07.616Z,1.6666666269302368,7,1284.6666259765625,249.4166717529297,1,24.81841278076172,45.44371795654297
2026-04-07T23:05:12.648Z,1.6666666269302368,7,1289.3333740234375,250.5,1,24.831764221191406,45.26823806762695
2026-04-07T23:05:17.600Z,1.6666666269302368,7,1295.6666259765625,252,1,24.831764221191406,45.26823806762695
2026-04-07T23:05:22.624Z,1.8333333730697632,8,1302.6666259765625,254,1,24.830429077148438,45.03840255737305
2026-04-07T23:05:27.641Z,2.3333332538604736,10,1307.3333740234375,255.4166717529297,1,24.819747924804688,45.009796142578125
