"createdAt","pm25","co2","tvoc","nox","temp","humidity","usAQI"
"2026-04-07T13:29:14.769Z","2.6666667461395264","1273.6666259765625","194.9166717529297","1","23.797012329101562","44.85066223144531","11"
"2026-04-07T13:29:19.933Z","2.6666667461395264","1273","195","1","23.797012329101562","44.85066223144531","11"
"2026-04-07T13:29:25.983Z","2.5","1273","194.8333282470703","1","23.81970977783203","44.67231750488281","10"
"2026-04-07T13:29:32.009Z","2.3333332538604736","1273.3333740234375","194.75","1","23.84107208251953","44.699974060058594","10"
"2026-04-07T13:29:37.930Z","2.5","1274.6666259765625","194.4166717529297","1","23.84107208251953","44.754337310791016","10"
"2026-04-07T13:29:43.922Z","2.5","1276.3333740234375","193.9166717529297","1","23.835731506347656","44.51972961425781","10"
"2026-04-07T13:29:49.925Z","2.5","1279","193.25","1","23.837066650390625","44.05718994140625","10"
"2026-04-07T13:29:56.481Z","2.5","1281","192.75","1","23.84374237060547","43.35527801513672","10"
"2026-04-07T13:30:02.590Z","2.3333332538604736","1282.6666259765625","192.25","1","23.847747802734375","42.93470001220703","10"
"2026-04-07T13:30:08.812Z","2.3333332538604736","1281.6666259765625","191.6666717529297","1","23.847747802734375","43.34192657470703","10"
"2026-04-07T13:30:15.378Z","2.3333332538604736","1279.3333740234375","191.1666717529297","1","23.857093811035156","43.931304931640625","10"
"2026-04-07T13:30:20.671Z","2.3333332538604736","1275.3333740234375","190.5833282470703","1","23.85442352294922","44.18498229980469","10"
"2026-04-07T13:30:26.632Z","2.5","1272","190","1","23.845077514648438","44.21931457519531","10"
"2026-04-07T13:30:32.754Z","2.5","1269.3333740234375","189.5","1","23.839736938476562","44.083892822265625","10"
"2026-04-07T13:30:38.642Z","2.8333332538604736","1267.3333740234375","189","1","23.8424072265625","43.862640380859375","12"
"2026-04-07T13:30:44.665Z","3","1265.6666259765625","188.3333282470703","1","23.861099243164062","43.69860076904297","12"
"2026-04-07T13:30:50.718Z","3","1264","188.0833282470703","1","23.850418090820312","43.609901428222656","12"
"2026-04-07T13:30:56.956Z","3.1666667461395264","1262.6666259765625","187.9166717529297","1","23.857097625732422","43.57938766479492","13"
"2026-04-07T13:31:03.075Z","3.1666667461395264","1261","188.0833282470703","1","23.87044906616211","43.627071380615234","13"
"2026-04-07T13:31:09.151Z","3.5","1257.6666259765625","188.4166717529297","1","23.875789642333984","43.6823844909668","15"
"2026-04-07T13:31:15.640Z","3.5","1254","189","1","23.893150329589844","43.74055862426758","15"
"2026-04-07T13:31:21.181Z","3.3333332538604736","1249","189.75","1","23.893150329589844","44.08293151855469","14"
"2026-04-07T13:31:27.199Z","3.1666667461395264","1245.6666259765625","190.9166717529297","1","23.889144897460938","44.63988494873047","13"
"2026-04-07T13:31:33.242Z","3.1666667461395264","1244.6666259765625","192.6666717529297","1","23.875789642333984","44.66754150390625","13"
"2026-04-07T13:31:39.099Z","3.1666667461395264","1248","194.9166717529297","1","23.87044906616211","44.06195068359375","13"
"2026-04-07T13:31:45.066Z","2.8333332538604736","1255","197.5","1","23.881134033203125","43.44777297973633","12"
"2026-04-07T13:31:51.216Z","2.8333332538604736","1261.6666259765625","202.6666717529297","1","23.877124786376953","43.08631896972656","12"
"2026-04-07T13:31:57.444Z","2.8333332538604736","1267.3333740234375","205.1666717529297","1","23.878459930419922","42.958526611328125","12"
"2026-04-07T13:32:04.297Z","3","1269.3333740234375","209.6666717529297","1","23.893150329589844","42.89176940917969","12"
"2026-04-07T13:32:09.782Z","2.6666667461395264","1268.3333740234375","211.5833282470703","1","23.89582061767578","42.770652770996094","11"
"2026-04-07T13:32:16.224Z","2.3333332538604736","1264.3333740234375","213.3333282470703","1","23.886474609375","42.70484924316406","10"
"2026-04-07T13:32:21.735Z","2.3333332538604736","1257.3333740234375","215","1","23.899826049804688","42.70484924316406","10"
"2026-04-07T13:32:27.609Z","2.1666667461395264","1250","216.5","1","23.903831481933594","42.73537063598633","9"
"2026-04-07T13:32:33.642Z","2.3333332538604736","1240.6666259765625","217.5","1","23.893150329589844","42.78495788574219","10"
"2026-04-07T13:32:39.614Z","2.3333332538604736","1232.3333740234375","217.9166717529297","1","23.901161193847656","42.81261444091797","10"
"2026-04-07T13:32:45.614Z","2.5","1219.3333740234375","217.9166717529297","1","23.89849090576172","42.7716064453125","10"
"2026-04-07T13:32:51.700Z","2.8333332538604736","1206","217.8333282470703","1","23.89582061767578","42.825965881347656","12"
"2026-04-07T13:32:57.979Z","3","1189.6666259765625","217.6666717529297","1","23.902496337890625","43.085365295410156","12"
"2026-04-07T13:33:04.851Z","3.1666667461395264","1178.6666259765625","217.5","1","23.899826049804688","43.175010681152344","13"
"2026-04-07T13:33:10.310Z","3","1167.6666259765625","217.3333282470703","1","23.902496337890625","42.999534606933594","12"
"2026-04-07T13:33:16.436Z","3.1666667461395264","1160.3333740234375","217.0833282470703","1","23.91718292236328","42.75157928466797","13"
"2026-04-07T13:33:22.699Z","3.3333332538604736","1151.3333740234375","216.9166717529297","1","23.89849090576172","42.50743103027344","14"
"2026-04-07T13:33:28.578Z","3.1666667461395264","1144.6666259765625","216.75","1","23.89715576171875","42.42731857299805","13"
"2026-04-07T13:33:34.588Z","3.1666667461395264","1136.3333740234375","216.5","1","23.910507202148438","42.48358917236328","13"
"2026-04-07T13:33:40.589Z","3","1129.3333740234375","216.3333282470703","1","23.902496337890625","42.49121856689453","12"
"2026-04-07T13:33:46.568Z","3.1666667461395264","1121","216.3333282470703","1","23.886470794677734","42.463558197021484","13"
